JOBID    PARTITION  NAME                                   USER              TIME_LEFT    TIME_LIMIT   START_TIME           ST  NODES  CPUS  NODELIST(REASON)
2014411  ai         mmalign12                              zabali16          23:54:55     1-00:00:00   2020-11-26T20:01:00  R   1      10    ai06
2014410  ai         mysql12                                zabali16          23:54:40     1-00:00:00   2020-11-26T20:00:45  R   1      1     ai10
2014408  ai         mmalign9                               zabali16          23:54:38     1-00:00:00   2020-11-26T20:00:43  R   1      10    ai10
2014406  ai         mmalign4                               zabali16          23:54:16     1-00:00:00   2020-11-26T20:00:21  R   1      10    ai03
2014402  ai         mysql10                                zabali16          23:53:38     1-00:00:00   2020-11-26T19:59:43  R   1      1     ai10
2014387  ai         ada                                    ekesim19          3-23:52:02   4-00:00:00   2020-11-26T19:58:07  R   1      1     ai09
2014280  cosmos     binary117                              hgulbalkan14      30-22:30:58  30-23:00:00  2020-11-26T19:37:03  R   1      1     ke01
2014277  cosmos     binary116                              hgulbalkan14      30-22:30:47  30-23:00:00  2020-11-26T19:36:52  R   1      1     ke01
2014276  cosmos     binary115                              hgulbalkan14      30-22:30:39  30-23:00:00  2020-11-26T19:36:44  R   1      1     ke01
2014273  cosmos     binary115                              hgulbalkan14      30-22:30:33  30-23:00:00  2020-11-26T19:36:38  R   1      1     ke01
2014267  cosmos     binary114                              hgulbalkan14      30-22:29:55  30-23:00:00  2020-11-26T19:36:00  R   1      1     ke01
2014266  cosmos     binary113                              hgulbalkan14      30-22:29:43  30-23:00:00  2020-11-26T19:35:48  R   1      1     ke01
2014265  cosmos     binary112                              hgulbalkan14      30-22:29:33  30-23:00:00  2020-11-26T19:35:38  R   1      1     ke01
2014264  cosmos     binary111                              hgulbalkan14      30-22:29:19  30-23:00:00  2020-11-26T19:35:24  R   1      1     ke01
2014263  cosmos     binary110                              hgulbalkan14      30-22:29:07  30-23:00:00  2020-11-26T19:35:12  R   1      1     ke01
2014262  cosmos     binary108                              hgulbalkan14      30-22:28:57  30-23:00:00  2020-11-26T19:35:02  R   1      1     ke01
2014261  cosmos     binary107                              hgulbalkan14      30-22:28:42  30-23:00:00  2020-11-26T19:34:47  R   1      1     ke01
2014260  cosmos     binary106                              hgulbalkan14      30-22:28:35  30-23:00:00  2020-11-26T19:34:40  R   1      1     ke01
2014256  cosmos     binary105                              hgulbalkan14      30-22:28:08  30-23:00:00  2020-11-26T19:34:13  R   1      1     ke01
2014253  cosmos     binary104                              hgulbalkan14      30-22:28:00  30-23:00:00  2020-11-26T19:34:05  R   1      1     ke01
2014246  cosmos     binary103                              hgulbalkan14      30-22:26:55  30-23:00:00  2020-11-26T19:33:00  R   1      1     ke01
2014244  cosmos     binary102                              hgulbalkan14      30-22:26:45  30-23:00:00  2020-11-26T19:32:50  R   1      1     ke01
